"","Survey","Year","Cruise.Join.ID","Haul.Join.ID","Catch.Join.ID","Vessel.Number","Cruise.Number","Haul.Number","Starting.Latitude..dd.","Starting.Longitude..dd.","Ending.Latitude..dd.","Ending.Longitude..dd.","Stratum","Stratum.INPFC.Area","Stratum.Min.Depth..m.","Stratum.Max.Depth..m.","Stratum.Description","Stratum.Regulatory.Area.Name","Stratum.Type","Domain","Density","Gear.Performance","Satisfactory.Gear.Performance","Gear.Performance.Note","Gear.Depth","Bottom.Depth","Surface.Temperature","Gear.Temperature","Distance.Fished..km.","Net.Width..m.","Species.Code","Common.Name","Scientific.Name","Weight..kg.","Number.of.Fish","Effort..km2.","Weight.CPUE..kg.km2.","Number.CPUE..number.km2.","akfin_load_date"
"11","GOA",2013,-687,-10734,NA,176,201301,256,59.56239,-144.53893,59.56175,-144.56526,140,"Yakutat",101,200,"Middleton Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",137,143,15.7,5.9,1.497,17.3,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.0258981,0,0,"29-Sep-21"
"12","GOA",2009,-638,-5503,NA,159,200901,175,58.1065,-152.0657,58.10648,-152.09219,30,"Kodiak",1,100,"Albatross Shallows","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",65,72,8.2,6.3,1.583,14.179,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.022445357,0,0,"29-Sep-21"
"13","GOA",2009,-638,-5534,-134513,159,200901,206,58.52388,-149.759,58.53369,-149.77769,131,"Kodiak",101,200,"Portlock Flats","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",136,142,12.4,4.8,1.571,15.86,30060,"Pacific ocean perch","Sebastes alutus",60.488,98,0.02491606,2427.671149,3933.206133,"29-Sep-21"
"14","GOA",2011,-668,-8323,-229257,148,201101,211,55.9186,-153.83782,55.91123,-153.81833,330,"Kodiak",301,500,"Kodiak Slope","CENTRAL GOA","SLOPE",NA,NA,0,"Y","Good performance",310,316,9.8,4.8,1.474,15.124,30060,"Pacific ocean perch","Sebastes alutus",165.91,270,0.022292776,7442.321225,12111.54681,"29-Sep-21"
"15","GOA",2011,-668,-8328,NA,148,201101,216,56.77033,-153.27303,56.75742,-153.28168,130,"Kodiak",101,200,"Albatross Gullies","CENTRAL GOA","GULLY",NA,NA,0,"Y","Good performance",132,138,10.6,4.4,1.536,16.214,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.024904704,0,0,"29-Sep-21"
"16","GOA",2013,-687,-10760,NA,176,201301,283,57.99049,-137.12439,57.97919,-137.13898,340,"Yakutat",301,500,"Yakutat Gullies","EASTERN GOA","GULLY",NA,NA,0,"Y","Good performance",350,356,14.6,4.6,1.531,17.921,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.027437051,0,0,"29-Sep-21"
"17","GOA",2013,-687,-10773,-291648,176,201301,296,55.80231,-134.6937,55.80264,-134.71719,151,"Southeastern",101,200,"Prince of Wales Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",184,191,9.9,5.6,1.479,15.801,30060,"Pacific ocean perch","Sebastes alutus",7.47,45,0.023369679,319.6449553,1925.57202,"29-Sep-21"
"18","GOA",2013,-687,-10775,NA,176,201301,298,55.43954,-134.99284,55.43318,-134.96826,450,"Southeastern",501,700,"Southeastern Slope","EASTERN GOA","SLOPE",NA,NA,6.1,"Y","Depth change over tow exceeds survey defined limits",546,552,13.2,4.2,1.72,16.575,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.028509,0,0,"29-Sep-21"
"19","GOA",2013,-687,-10778,-291766,176,201301,301,54.71512,-133.68842,54.70115,-133.68795,251,"Southeastern",201,300,"Prince of Wales Slope/Gullies","EASTERN GOA","SLOPE",NA,NA,0,"Y","Good performance",235,241,12.2,5.6,1.557,16.841,30060,"Pacific ocean perch","Sebastes alutus",2.3,3,0.026221437,87.71449101,114.4102057,"29-Sep-21"
"20","GOA",2015,-699,-13987,NA,143,201501,9,53.0107,-168.06784,53.00535,-168.08765,111,"Shumagin",101,200,"Shumagin Outer Shelf","WESTERN GOA","SHELF",NA,NA,0,"Y","Good performance",120,127,6.4,5.6,1.46,15.926,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02325196,0,0,"29-Sep-21"
"21","GOA",2009,-638,-5790,-153776,159,200901,248,59.55919,-142.1725,59.55001,-142.1528,141,"Yakutat",101,200,"Yakataga Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",179,185,13.3,5.8,1.535,15.788,30060,"Pacific ocean perch","Sebastes alutus",5.6,20,0.02423458,231.07477,825.2670358,"29-Sep-21"
"22","GOA",2009,-638,-5798,-153947,159,200901,256,59.23372,-139.276,59.2459,-139.28931,40,"Yakutat",1,100,"Yakutat Shallows","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",62,68,14,5.3,1.586,15.699,30060,"Pacific ocean perch","Sebastes alutus",0.038,2,0.024898614,1.526189369,80.32575629,"29-Sep-21"
"23","GOA",2011,-668,-8401,-226830,148,201101,286,59.26822,-146.44192,59.26915,-146.41485,341,"Yakutat",301,500,"Yakutat Slope","EASTERN GOA","SLOPE",NA,NA,0,"Y","Good performance",397,403,14.4,4.5,1.556,17.63,30060,"Pacific ocean perch","Sebastes alutus",2.71,4,0.02743228,98.78872627,145.8136181,"29-Sep-21"
"24","GOA",2011,-668,-8410,-227039,148,201101,295,59.60195,-142.97773,59.61078,-142.95672,341,"Yakutat",301,500,"Yakutat Slope","EASTERN GOA","SLOPE",NA,NA,0,"Y","Good performance",398,404,15.5,4.5,1.553,16.951,30060,"Pacific ocean perch","Sebastes alutus",0.72,1,0.026324903,27.35052813,37.98684462,"29-Sep-21"
"25","GOA",2011,-668,-8412,-227091,148,201101,297,59.67338,-142.8905,59.68013,-142.86693,241,"Yakutat",201,300,"Yakutat Slope","EASTERN GOA","SLOPE",NA,NA,0,"Y","Good performance",235,241,15.6,5.5,1.531,16.202,30060,"Pacific ocean perch","Sebastes alutus",62.19,139,0.024805262,2507.129334,5603.649742,"29-Sep-21"
"26","GOA",2011,-668,-8413,-227112,148,201101,298,59.6339,-142.52023,59.62038,-142.52472,141,"Yakutat",101,200,"Yakataga Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",154,161,15.5,6,1.53,16.427,30060,"Pacific ocean perch","Sebastes alutus",1.6,14,0.02513331,63.66053655,557.0296949,"29-Sep-21"
"27","GOA",2015,-699,-14369,NA,143,201501,120,57.67511,-154.06345,57.67587,-154.08794,35,"Kodiak",1,100,"Northern Kodiak Shallows","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",45,52,12.2,7.5,1.469,16.068,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023603892,0,0,"29-Sep-21"
"28","GOA",2015,-699,-14376,NA,143,201501,127,57.71857,-155.56323,57.72055,-155.53862,20,"Chirikof",1,100,"Upper Alaska Peninsula","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",23,30,11.2,10.6,1.489,13.954,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.020777506,0,0,"29-Sep-21"
"29","GOA",2009,-638,-5813,-154234,159,200901,271,56.92512,-135.70061,56.91994,-135.7244,150,"Southeastern",101,200,"Baranof-Chichagof Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",128,134,11.8,5.8,1.582,16.677,30060,"Pacific ocean perch","Sebastes alutus",0.012,1,0.026383014,0.454838102,37.90317513,"29-Sep-21"
"30","GOA",2009,-638,-5822,-154411,159,200901,280,55.92567,-135.4272,55.93789,-135.4408,351,"Southeastern",301,500,"Southeastern Slope","EASTERN GOA","SLOPE",NA,NA,0,"Y","Good performance",397,404,13.4,4.6,1.648,16.507,30060,"Pacific ocean perch","Sebastes alutus",79.964,94,0.027203536,2939.47081,3455.433147,"29-Sep-21"
"31","GOA",2011,-667,-7422,-224905,143,201101,8,52.71868,-168.8568,52.71332,-168.87657,111,"Shumagin",101,200,"Shumagin Outer Shelf","WESTERN GOA","SHELF",NA,NA,1.11,"Y","Completed tow",120,128,5.4,4.7,1.47,15.361,30060,"Pacific ocean perch","Sebastes alutus",19.686,55,0.02258067,871.8076124,2435.711606,"29-Sep-21"
"32","GOA",2011,-667,-7426,-224981,143,201101,12,52.96185,-167.60433,52.95788,-167.62475,210,"Shumagin",201,300,"Shumagin Slope","WESTERN GOA","SLOPE",NA,NA,5.1,"Y","Net came off bottom",215,223,5.4,5.1,1.45,15.484,30060,"Pacific ocean perch","Sebastes alutus",244.02,372,0.0224518,10868.61632,16568.82744,"29-Sep-21"
"33","GOA",2011,-667,-7428,-225027,143,201101,14,53.18555,-166.80585,53.17963,-166.82495,210,"Shumagin",201,300,"Shumagin Slope","WESTERN GOA","SLOPE",NA,NA,0,"Y","Good performance",243,250,4.7,5.2,1.453,15.932,30060,"Pacific ocean perch","Sebastes alutus",42.12,65,0.023149196,1819.501636,2807.872895,"29-Sep-21"
"34","GOA",2011,-667,-7429,-225045,143,201101,15,53.2804,-166.63525,53.27535,-166.65405,111,"Shumagin",101,200,"Shumagin Outer Shelf","WESTERN GOA","SHELF",NA,NA,0,"Y","Good performance",183,190,4.9,5.3,1.497,15.993,30060,"Pacific ocean perch","Sebastes alutus",6.59,12,0.023941521,275.2540242,501.2212883,"29-Sep-21"
"35","GOA",2011,-667,-7432,NA,143,201101,18,53.22993,-166.30028,53.22562,-166.32042,410,"Shumagin",501,700,"Shumagin Slope","WESTERN GOA","SLOPE",NA,NA,1.11,"Y","Completed tow",582,589,5.8,4,1.432,16.173,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023159736,0,0,"29-Sep-21"
"36","GOA",2011,-668,-8422,-227352,148,201101,307,59.28597,-141.34227,59.2855,-141.31567,340,"Yakutat",301,500,"Yakutat Gullies","EASTERN GOA","GULLY",NA,NA,0,"Y","Good performance",336,342,14.6,4.6,1.53,16.885,30060,"Pacific ocean perch","Sebastes alutus",4.92,7,0.02583405,190.4463296,270.960225,"29-Sep-21"
"37","GOA",2011,-668,-8437,-227677,148,201101,322,57.8988,-136.90365,57.90795,-136.88375,350,"Southeastern",301,500,"Southeastern Deep Gullies","EASTERN GOA","GULLY",NA,NA,0,"Y","Good performance",449,455,14,4.4,1.563,17.217,30060,"Pacific ocean perch","Sebastes alutus",8.52,14,0.026910171,316.6089134,520.2493882,"29-Sep-21"
"38","GOA",2015,-699,-14828,NA,143,201501,168,58.43986,-152.08022,58.43687,-152.05584,30,"Kodiak",1,100,"Albatross Shallows","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",116,123,8.7,8.1,1.468,14.786,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.021705848,0,0,"29-Sep-21"
"39","GOA",2015,-699,-14848,NA,143,201501,188,59.45283,-153.21784,59.44246,-153.20149,32,"Kodiak",1,100,"Lower Cook Inlet","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",33,40,11.2,10.1,1.482,16.552,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.024530064,0,0,"29-Sep-21"
"40","GOA",2015,-699,-14854,NA,143,201501,194,59.82063,-152.20113,59.8083,-152.20384,32,"Kodiak",1,100,"Lower Cook Inlet","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",46,53,10,10,1.38,14.208,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.01960704,0,0,"29-Sep-21"
"41","GOA",2015,-699,-14866,-404964,143,201501,206,58.92166,-150.7966,58.9097,-150.80618,131,"Kodiak",101,200,"Portlock Flats","CENTRAL GOA","SHELF",NA,NA,1.1,"Y","Minor hang(s)",151,158,12.3,6.4,1.442,18.948,30060,"Pacific ocean perch","Sebastes alutus",85.48,113,0.027323016,3128.497967,4135.70742,"29-Sep-21"
"42","GOA",2011,-667,-7442,NA,143,201101,28,54.06678,-164.44685,54.06192,-164.46773,11,"Shumagin",1,100,"Davidson Bank","WESTERN GOA","SHELF",NA,NA,0,"Y","Good performance",87,96,6,4.4,1.475,13.661,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.020149975,0,0,"29-Sep-21"
"43","GOA",2011,-667,-7470,NA,143,201101,56,54.94417,-160.28308,54.95715,-160.27637,13,"Shumagin",1,100,"Shumagin Bank","WESTERN GOA","SHELF",NA,NA,0,"Y","Good performance",63,71,5.4,5.3,1.51,15.197,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02294747,0,0,"29-Sep-21"
"44","GOA",2011,-667,-7475,-226018,143,201101,61,54.66043,-161.78693,54.64812,-161.78718,13,"Shumagin",1,100,"Shumagin Bank","WESTERN GOA","SHELF",NA,NA,1.11,"Y","Completed tow",121,128,5.2,4,1.375,16.31,30060,"Pacific ocean perch","Sebastes alutus",1.274,5,0.02242625,56.80842762,222.9530127,"29-Sep-21"
"45","GOA",2013,-686,-9787,-273842,143,201301,39,54.2353,-161.64966,54.22211,-161.64663,11,"Shumagin",1,100,"Davidson Bank","WESTERN GOA","SHELF",NA,NA,0,"Y","Good performance",89,96,6.1,4.7,1.483,17.194,30060,"Pacific ocean perch","Sebastes alutus",17.78,67,0.025498702,697.2903954,2627.58473,"29-Sep-21"
"46","GOA",2015,-699,-14928,NA,143,201501,267,59.70444,-143.92367,59.69316,-143.91048,141,"Yakutat",101,200,"Yakataga Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",123,129,15.1,6.6,1.461,19.336,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.028249896,0,0,"29-Sep-21"
"47","GOA",2015,-699,-14939,NA,143,201501,278,59.66973,-139.93345,59.65696,-139.93234,40,"Yakutat",1,100,"Yakutat Shallows","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",139,145,13,7.9,1.423,16.494,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023470962,0,0,"29-Sep-21"
"48","GOA",2015,-699,-14948,-424162,143,201501,287,58.52352,-137.63381,58.51441,-137.65127,143,"Yakutat",101,200,"Fairweather Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",158,164,13.3,6.6,1.44,17.918,30060,"Pacific ocean perch","Sebastes alutus",9.512,27,0.02580192,368.6547358,1046.433754,"29-Sep-21"
"49","GOA",2015,-699,-14950,-424213,143,201501,289,58.20618,-137.11887,58.21277,-137.09835,143,"Yakutat",101,200,"Fairweather Shelf","EASTERN GOA","SHELF",NA,NA,1.11,"Y","Completed tow",113,119,14.2,6.8,1.42,17.236,30060,"Pacific ocean perch","Sebastes alutus",761.04,2506,0.02447512,31094.43386,102389.6921,"29-Sep-21"
"50","GOA",2015,-699,-14958,-424423,143,201501,297,56.23441,-135.31675,56.22596,-135.29944,150,"Southeastern",101,200,"Baranof-Chichagof Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",183,190,13.2,5.8,1.439,15.815,30060,"Pacific ocean perch","Sebastes alutus",234.752,342,0.022757785,10315.23938,15027.82454,"29-Sep-21"
"51","GOA",2011,-667,-7485,NA,143,201101,71,54.16657,-162.73285,54.17427,-162.7508,11,"Shumagin",1,100,"Davidson Bank","WESTERN GOA","SHELF",NA,NA,2.4,"Y","Belly damaged",68,76,5.6,4.5,1.464,15.275,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.0223626,0,0,"29-Sep-21"
"52","GOA",2011,-667,-7745,NA,143,201101,83,55.779,-159.2467,55.76608,-159.25418,12,"Shumagin",1,100,"Lower Alaska Peninsula","WESTERN GOA","SHELF",NA,NA,0,"Y","Good performance",94,101,6.8,4.5,1.512,15.26,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02307312,0,0,"29-Sep-21"
"53","GOA",2011,-667,-7746,NA,143,201101,84,55.72988,-158.9776,55.73892,-158.99425,120,"Chirikof",101,200,"East Shumagin Gully","CENTRAL GOA","GULLY",NA,NA,0,"Y","Good performance",140,147,7.4,4.6,1.454,15.981,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023236374,0,0,"29-Sep-21"
"54","GOA",2011,-667,-7753,-207193,143,201101,91,56.0227,-157.7335,56.0356,-157.72825,21,"Chirikof",1,100,"Semidi Bank","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",86,94,6.8,4.5,1.48,15.532,30060,"Pacific ocean perch","Sebastes alutus",0.356,3,0.02298736,15.48677186,130.5065044,"29-Sep-21"
"55","GOA",2011,-667,-7775,NA,143,201101,113,56.58378,-156.39033,56.59267,-156.40645,220,"Chirikof",201,300,"Lower Shelikof Gully","CENTRAL GOA","GULLY",NA,NA,0,"Y","Good performance",201,208,7.7,4.3,1.402,15.397,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.021586594,0,0,"29-Sep-21"
"56","GOA",2013,-686,-9798,-274108,143,201301,50,54.40341,-159.59815,54.40945,-159.58386,210,"Shumagin",201,300,"Shumagin Slope","WESTERN GOA","SLOPE",NA,NA,6,"Y","Unspecified problems",205,212,5.1,4.9,1.148,16.451,30060,"Pacific ocean perch","Sebastes alutus",507.05,838,0.018885748,26848.28793,44372.08418,"29-Sep-21"
"57","GOA",2013,-686,-9822,NA,143,201301,64,55.01432,-158.90516,55.0027,-158.91432,13,"Shumagin",1,100,"Shumagin Bank","WESTERN GOA","SHELF",NA,NA,0,"Y","Good performance",76,83,7.2,4.3,1.42,16.296,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02314032,0,0,"29-Sep-21"
"58","GOA",2013,-686,-9824,NA,143,201301,66,55.34656,-159.24778,55.33646,-159.26102,112,"Shumagin",101,200,"West Shumagin Gully","WESTERN GOA","GULLY",NA,NA,0,"Y","Good performance",170,177,7.3,4.6,1.404,17.486,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.024550344,0,0,"29-Sep-21"
"59","GOA",2013,-686,-9848,-274735,143,201301,80,55.52009,-157.57925,55.53268,-157.57645,21,"Chirikof",1,100,"Semidi Bank","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",90,97,8.4,4.6,1.411,15.686,30060,"Pacific ocean perch","Sebastes alutus",0.688,1,0.022132946,31.08488133,45.18151357,"29-Sep-21"
"60","GOA",2015,-699,-14891,NA,143,201501,231,59.08204,-150.47804,59.07251,-150.49534,133,"Kodiak",101,200,"Kenai Flats","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",108,115,12.8,6.6,1.456,16.114,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023461984,0,0,"29-Sep-21"
"61","GOA",2015,-699,-14892,NA,143,201501,232,59.75019,-149.69597,59.76326,-149.70098,33,"Kodiak",1,100,"Kenai Peninsula","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",287,287,13.7,5.9,1.482,16.953,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.025124346,0,0,"29-Sep-21"
"62","GOA",2015,-699,-14899,NA,143,201501,238,59.48373,-150.42451,59.49515,-150.41299,33,"Kodiak",1,100,"Kenai Peninsula","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",208,215,11.4,6.7,1.43,16.886,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02414698,0,0,"29-Sep-21"
"63","GOA",2011,-667,-7792,NA,143,201101,131,56.42593,-155.49552,56.43833,-155.48628,22,"Chirikof",1,100,"Chirikof Bank","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",55,63,7.7,5.6,1.497,15.883,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023776851,0,0,"29-Sep-21"
"64","GOA",2011,-667,-7799,NA,143,201101,138,56.86533,-154.36625,56.87502,-154.38317,22,"Chirikof",1,100,"Chirikof Bank","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",48,55,8.9,7.5,1.494,15.205,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02271627,0,0,"29-Sep-21"
"65","GOA",2011,-667,-7804,NA,143,201101,143,56.75682,-154.66688,56.74332,-154.66742,22,"Chirikof",1,100,"Chirikof Bank","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",27,35,8.4,7.7,1.504,14.581,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.021929824,0,0,"29-Sep-21"
"66","GOA",2011,-667,-7809,NA,143,201101,148,56.97035,-155.3557,56.95857,-155.36657,220,"Chirikof",201,300,"Lower Shelikof Gully","CENTRAL GOA","GULLY",NA,NA,0,"Y","Good performance",250,257,9.1,5.4,1.47,15.676,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02304372,0,0,"29-Sep-21"
"67","GOA",2011,-667,-7820,NA,143,201101,159,57.64608,-154.81303,57.65648,-154.80085,232,"Kodiak",201,300,"Upper Shelikof Gully","CENTRAL GOA","GULLY",NA,NA,0,"Y","Good performance",216,222,9.2,5,1.37,16.61,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.0227557,0,0,"29-Sep-21"
"68","GOA",2013,-686,-10593,NA,143,201301,106,56.91587,-154.60914,56.92102,-154.6295,22,"Chirikof",1,100,"Chirikof Bank","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",28,35,8.2,8.2,1.371,15.401,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.021114771,0,0,"29-Sep-21"
"69","GOA",2011,-667,-7834,NA,143,201101,173,57.37452,-152.07003,57.36128,-152.07448,31,"Kodiak",1,100,"Albatross Banks","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",78,85,9,6.5,1.507,15.653,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023589071,0,0,"29-Sep-21"
"70","GOA",2011,-667,-7990,NA,143,201101,181,58.17263,-151.57402,58.16213,-151.58922,130,"Kodiak",101,200,"Albatross Gullies","CENTRAL GOA","GULLY",NA,NA,0,"Y","Good performance",110,117,8.6,5.9,1.484,15.848,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023518432,0,0,"29-Sep-21"
"71","GOA",2011,-667,-8003,NA,143,201101,194,58.43292,-153.92832,58.44635,-153.92687,20,"Chirikof",1,100,"Upper Alaska Peninsula","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",73,80,10.9,6.1,1.501,15.331,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023011831,0,0,"29-Sep-21"
"72","GOA",2011,-667,-8012,NA,143,201101,203,58.87495,-153.08735,58.86488,-153.07192,132,"Kodiak",101,200,"Barren Islands","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",160,166,9.1,4.9,1.435,16.184,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02322404,0,0,"29-Sep-21"
"73","GOA",2013,-686,-10647,NA,143,201301,160,58.68209,-152.58102,58.68834,-152.55968,30,"Kodiak",1,100,"Albatross Shallows","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",68,75,8.5,6,1.426,15.696,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.022382496,0,0,"29-Sep-21"
"74","GOA",2015,-699,-14346,-421846,143,201501,97,56.67918,-156.76401,56.69291,-156.76507,121,"Chirikof",101,200,"Shelikof Edge","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",136,142,9.5,5.9,1.532,19.324,30060,"Pacific ocean perch","Sebastes alutus",0.97,1,0.029604368,32.76543515,33.77879913,"29-Sep-21"
"75","GOA",2013,-686,-10478,NA,143,201301,198,57.84777,-151.25294,57.83651,-151.24066,31,"Kodiak",1,100,"Albatross Banks","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",61,68,11.4,7.2,1.451,16.147,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023429297,0,0,"29-Sep-21"
